date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD)
2017-09-11,794571.286625,235,176227000.0,87.63,611174.0,
2017-09-12,581886.786282,195,176262000.0,87.64,412080.0,
2017-09-13,602450.688072,180,183867000.0,91.42,457586.0,
2017-09-14,326294.590828,180,163072000.0,81.08,267914.0,
2017-09-15,465778.048104,164,141134000.0,70.18,293120.0,
2017-09-16,394955.815392,189,175501000.0,87.26,466838.0,
2017-09-17,4114296.37016,141,173474000.0,86.26,287407.0,
2017-09-18,731732.848838,166,214384000.0,106.6,580538.0,
2017-09-19,514459.237676,125,200832000.0,99.86,379193.0,
2017-09-20,658419.301653,132,177047000.0,88.03,558018.0,
2017-09-21,8887018318.03,127,182392000.0,90.69,337306.0,
2017-09-22,482025.078686,118,162113000.0,80.61,463277.0,
2017-09-23,234442.912096,113,160907000.0,80.01,220339.0,
2017-09-24,337528.767274,72,174433000.0,86.73,147935.0,
2017-09-25,225443.564133,83,157826000.0,78.48,265708.0,
2017-09-26,250959.950236,95,162817000.0,80.96,269815.0,
2017-09-27,322051.468017,104,156120000.0,77.63,354518.0,
2017-09-28,390148.755575,125,166954000.0,83.02,282470.0,
2017-09-29,330533.923769,114,151214000.0,75.19,264286.0,
2017-09-30,596096.444162,133,150826000.0,75.0,214287.0,
2017-10-01,419300.663139,125,130804000.0,65.04,245037.0,
2017-10-02,349176.085095,129,149866000.0,74.52,268205.0,
2017-10-03,452690.875673,130,141789000.0,70.5,398208.0,
2017-10-04,667368.723631,128,136636000.0,67.94,370106.0,
2017-10-05,336184.040809,125,134813000.0,67.03,345917.0,
2017-10-06,329720.380119,105,129742000.0,64.35,438750.0,
2017-10-07,366566.596493,140,136143000.0,67.53,280054.0,
2017-10-08,498412.039723,186,124573000.0,61.79,358034.0,
2017-10-09,306308.634544,159,113957000.0,56.53,260843.0,
2017-10-10,208409.885689,113,116846000.0,57.96,186440.0,
2017-10-11,325979.112522,132,128482000.0,63.73,283817.0,
2017-10-12,725906.324193,170,170508000.0,84.58,411596.0,
2017-10-13,265527.523193,106,162171000.0,80.44,380602.0,
2017-10-14,322504.822237,142,158494000.0,78.62,296547.0,
2017-10-15,262798.721051,82,169825000.0,84.24,224884.0,
2017-10-16,101716.131026,85,157279000.0,78.01,213794.0,
2017-10-17,389695.372488,78,160763000.0,79.74,356309.0,
2017-10-18,1221904.33214,148,148424000.0,73.62,525937.0,
2017-10-19,489426.549727,154,143441000.0,71.15,359012.0,
2017-10-20,1703138.49871,135,127818000.0,63.4,370308.0,
2017-10-21,262807.582534,155,125183000.0,61.79,338233.0,
2017-10-22,790994.660118,154,125506000.0,61.95,315451.0,
2017-10-23,377570.062034,163,134532000.0,66.4,470442.0,
2017-10-24,436651.173353,188,120953000.0,59.7,641551.0,
2017-10-25,260009.42384,181,115574000.0,57.04,457214.0,
2017-10-26,309258.987871,200,114368000.0,56.45,557912.0,
2017-10-27,541852.054334,210,111288000.0,54.93,806237.0,
2017-10-28,883305.384627,123,108970000.0,53.78,300509.0,
2017-10-29,301124.873046,161,104205000.0,51.43,386309.0,
2017-10-30,765591.504757,145,105265000.0,51.96,614046.0,
2017-10-31,205994.909349,139,97524000.0,48.14,589662.0,
2017-11-01,488976.589647,153,102753000.0,50.72,272363.0,
2017-11-02,253450.948419,167,97472600.0,48.11,319368.0,
2017-11-03,175121.253579,143,103716000.0,51.19,292073.0,
2017-11-04,275252.570719,127,110119000.0,54.35,337798.0,
2017-11-05,229510.618982,119,109898000.0,54.24,297911.0,
2017-11-06,450644.15125,161,129021000.0,63.68,407034.0,
2017-11-07,290595.300193,150,109642000.0,54.12,346582.0,
2017-11-08,408921.437443,149,115831000.0,57.17,428412.0,
2017-11-09,932097.247969,186,142477000.0,70.32,469943.0,
2017-11-10,910630.817223,123,152162000.0,75.1,268427.0,
2017-11-11,214617.877773,94,140372000.0,69.28,392282.0,
2017-11-12,218939.208655,112,145102000.0,71.62,302348.0,
2017-11-13,330344.93738,131,133792000.0,66.04,362643.0,
2017-11-14,353378.685581,166,146071000.0,72.1,443397.0,
2017-11-15,802304.612058,204,159966000.0,78.95,525776.0,
2017-11-16,878296.848725,258,168550000.0,83.19,775330.0,
2017-11-17,1496688.64175,235,201205000.0,99.31,664781.0,
2017-11-18,683349.661581,190,211951000.0,104.61,527856.0,
2017-11-19,1025696.51164,208,227130000.0,112.11,515638.0,
2017-11-20,720960.764348,192,222071000.0,109.61,634032.0,
2017-11-21,577919.011285,162,208353000.0,102.84,568294.0,
2017-11-22,415759.266236,141,182179000.0,89.92,432472.0,
2017-11-23,742434.438902,121,187695000.0,92.64,508324.0,
2017-11-24,318494.342488,119,183252000.0,90.45,499804.0,
2017-11-25,470860.211466,173,183558000.0,90.6,512575.0,
2017-11-26,888019.462008,137,182013000.0,89.84,527502.0,
2017-11-27,1600343.11451,174,185442000.0,91.53,863021.0,
2017-11-28,2079131.49343,204,208420000.0,102.87,763592.0,
2017-11-29,917964.725534,188,207605000.0,102.47,645841.0,
2017-11-30,748498.707428,178,186543000.0,92.07,680884.0,
2017-12-01,482484.862643,177,191855000.0,94.69,754948.0,
2017-12-02,484450.485594,187,190586000.0,94.07,626140.0,
2017-12-03,297531.489212,169,202254000.0,99.83,550355.0,
2017-12-04,730341.009074,199,205091000.0,101.23,817448.0,
2017-12-05,628786.282898,200,222115000.0,109.63,966945.0,
2017-12-06,817179.873717,169,308735000.0,152.38,1177340.0,
2017-12-07,446630.305039,130,270087000.0,133.31,920785.0,
2017-12-08,1061549.20937,199,322812000.0,159.33,1120830.0,
2017-12-09,1298887.21767,266,352937000.0,174.2,1349820.0,
2017-12-10,946276.059473,331,317267000.0,156.59,1065200.0,
2017-12-11,1094913.53768,265,319637000.0,157.76,1022160.0,
2017-12-12,3150060.43825,245,367469000.0,181.37,1439410.0,
2017-12-13,1441796.55866,250,455760000.0,224.95,1126430.0,
2017-12-14,1467305.86559,187,445713000.0,219.99,918112.0,
2017-12-15,2813283.25615,252,420530000.0,207.56,1152550.0,
2017-12-16,8353464.76731,349,473471000.0,233.69,1696420.0,
2017-12-17,1997990.82434,287,549192000.0,269.65,1731570.0,
2017-12-18,3811824.4724,226,561872000.0,275.88,1017940.0,
2017-12-19,3428677.19267,272,567629000.0,278.71,1569900.0,
2017-12-20,2445806.6335,230,511098000.0,250.95,1359590.0,
2017-12-21,9397268.80398,552,547107000.0,268.63,2464550.0,
2017-12-22,6518255.73146,472,766389000.0,376.3,1883090.0,
2017-12-23,5130619.31948,409,698289000.0,342.86,1771260.0,
2017-12-24,2858210.06606,248,674599000.0,331.23,1014880.0,
2017-12-25,1698517.21733,236,672171000.0,330.04,1348280.0,
2017-12-26,3233894.8895,195,732552000.0,359.69,1160140.0,
2017-12-27,3974412.77917,288,715658000.0,351.39,1836280.0,
