date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD)
2017-12-19,41256550.1256,4246,569346000.0,11.17,36828800.0,
2017-12-20,12209465.8418,3303,526042000.0,10.2,27937400.0,
2017-12-21,19488395.7311,4221,470384000.0,9.12,33123300.0,
2017-12-22,20277278.0225,4279,579611000.0,11.25,27288000.0,
2017-12-23,25615534.7989,2561,460273000.0,8.89,17854100.0,
2017-12-24,6436997.65981,1630,543720000.0,10.1,13424700.0,
2017-12-25,10463722.9999,2355,541472000.0,10.06,34627100.0,
2017-12-26,8115060.93086,2373,640325000.0,11.9,32470100.0,
2017-12-27,19021997.1529,3116,678343000.0,12.61,42588800.0,
2017-12-28,77586497.1289,8380,862960000.0,16.04,130469000.0,
2017-12-29,50214528.8261,6254,905906000.0,16.68,66210600.0,
2017-12-30,41172646.563,4914,779372000.0,14.36,40654100.0,
2017-12-31,13209572.7848,3142,661143000.0,12.18,33189700.0,
2018-01-01,19524937.5436,2974,697227000.0,12.86,35137200.0,
2018-01-02,19901998.1943,3204,673909000.0,12.45,45439100.0,
2018-01-03,10713549.219,4109,651912000.0,11.95,44618100.0,
2018-01-04,5164806.58983,1931,635369000.0,11.65,59457600.0,
2018-01-05,14750007.8744,1228,705070000.0,12.93,43428800.0,
2018-01-06,26939502.0617,1532,601296000.0,11.03,41980300.0,
2018-01-07,15364852.9542,2452,686038000.0,12.59,45933200.0,
2018-01-08,28345640.9983,3963,718074000.0,13.17,85218400.0,
2018-01-09,18211858.1463,1602,787175000.0,14.44,52787400.0,
2018-01-10,10142259.608,1539,792632000.0,14.54,35351900.0,
2018-01-11,21319478.9992,2764,709930000.0,13.03,26521200.0,
2018-01-12,5338605.04012,1940,625728000.0,11.55,21515000.0,
2018-01-13,8158364.20806,2264,660935000.0,12.2,22171100.0,
2018-01-14,21799485.0896,2284,635399000.0,11.73,19307300.0,
2018-01-15,13657229.3721,1592,609834000.0,11.26,20113900.0,
2018-01-16,175665507.475,1920,558690000.0,10.32,20321200.0,
2018-01-17,13447893.3436,1713,579313000.0,8.26,17122300.0,
2018-01-18,9345365.92955,1485,608296000.0,8.55,16360400.0,
2018-01-19,7442810.7318,1541,581109000.0,8.17,20608700.0,
2018-01-20,5872227.07396,1518,567825000.0,7.99,19744600.0,
2018-01-21,9952620.69208,1267,706370000.0,9.93,10749100.0,
2018-01-22,505319481.524,1099,584619000.0,8.22,12546800.0,
2018-01-23,4162569.53379,977,525752000.0,7.39,10705900.0,
2018-01-24,6780971.82813,990,395031000.0,7.53,15163100.0,
2018-01-25,8486112.2445,1161,421495000.0,8.04,14523300.0,
2018-01-26,28499552.4534,1231,393300000.0,7.5,17761400.0,
2018-01-27,6390562.75184,1020,419299000.0,7.93,11862100.0,
2018-01-28,7683438.7794,1191,421285000.0,7.95,14353800.0,
2018-01-29,4926046.05028,1079,408827000.0,7.71,10633100.0,
2018-01-30,5414832.63956,1021,404231000.0,7.61,11705600.0,
2018-01-31,6121986.00381,997,326753000.0,6.15,11780200.0,
2018-02-01,6717195.58841,1139,323319000.0,6.06,10779700.0,
2018-02-02,7996580.66792,1255,276273000.0,5.16,7187960.0,
2018-02-03,4979451.21812,967,255253000.0,4.76,9070050.0,
2018-02-04,4897344.98158,893,288302000.0,5.33,9261420.0,
2018-02-05,4564419.25881,1075,237429000.0,4.38,7480310.0,
2018-02-06,2660529.8654,1105,193456000.0,3.56,8237130.0,
2018-02-07,12589343.0667,2355,236118000.0,4.34,8832610.0,
2018-02-08,2620618.63786,686,216651000.0,4.09,6599090.0,
2018-02-09,11990582.936,725,234256000.0,4.42,3704030.0,
